round_epochs,loss,accuracy,val_loss,val_accuracy,output_count_lstm,output_count_dense,batch_size,epochs,optimizer,activation,last_activation,dropout,loss
2,0.060796890407800674,0.9860015511512756,0.06067967042326927,0.9945164918899536,40,30,32,2,adam,relu,sigmoid,0.1,binary_crossentropy
2,0.062347661703825,0.9811291098594666,0.06065890192985535,0.9945164918899536,40,30,32,2,adam,relu,sigmoid,0.2,binary_crossentropy
2,0.060029078274965286,0.9828916788101196,0.05992775782942772,0.9945164918899536,40,40,32,2,adam,relu,sigmoid,0.1,binary_crossentropy
2,0.06164129450917244,0.9894952774047852,0.05953976511955261,0.9945164918899536,40,40,32,2,adam,relu,sigmoid,0.2,binary_crossentropy
2,0.059848807752132416,0.9813719391822815,0.05898846313357353,0.9944224953651428,40,50,32,2,adam,relu,sigmoid,0.1,binary_crossentropy
2,0.06148778274655342,0.9912030100822449,0.0609302893280983,0.9945164918899536,40,50,32,2,adam,relu,sigmoid,0.2,binary_crossentropy
2,0.060081519186496735,0.9835575222969055,0.06062572821974754,0.9945164918899536,50,30,32,2,adam,relu,sigmoid,0.1,binary_crossentropy
2,0.06137112155556679,0.9886806011199951,0.060386061668395996,0.9945164918899536,50,30,32,2,adam,relu,sigmoid,0.2,binary_crossentropy
2,0.05954214930534363,0.9886571168899536,0.05843619629740715,0.9944538474082947,50,40,32,2,adam,relu,sigmoid,0.1,binary_crossentropy
2,0.06202879920601845,0.9922605156898499,0.059587761759757996,0.9945164918899536,50,40,32,2,adam,relu,sigmoid,0.2,binary_crossentropy
2,0.05916827544569969,0.9840118288993835,0.05979092791676521,0.9941405057907104,50,50,32,2,adam,relu,sigmoid,0.1,binary_crossentropy
2,0.0612020269036293,0.9906938076019287,0.05899346247315407,0.9945164918899536,50,50,32,2,adam,relu,sigmoid,0.2,binary_crossentropy
2,0.05990157648921013,0.9898556470870972,0.05937008932232857,0.9944538474082947,60,30,32,2,adam,relu,sigmoid,0.1,binary_crossentropy
2,0.06160751357674599,0.991218626499176,0.05948871374130249,0.9945164918899536,60,30,32,2,adam,relu,sigmoid,0.2,binary_crossentropy
2,0.05949798598885536,0.9827428460121155,0.05928877741098404,0.9940778613090515,60,40,32,2,adam,relu,sigmoid,0.1,binary_crossentropy
2,0.06087657809257507,0.9843878746032715,0.05909738689661026,0.9945164918899536,60,40,32,2,adam,relu,sigmoid,0.2,binary_crossentropy
2,0.060086194425821304,0.9890879392623901,0.05943562835454941,0.9943912029266357,60,50,32,2,adam,relu,sigmoid,0.1,binary_crossentropy
2,0.06152652949094772,0.9841136932373047,0.06012289226055145,0.9945164918899536,60,50,32,2,adam,relu,sigmoid,0.2,binary_crossentropy
